Feature,Importance
Age,0.1817247431085103
EstimatedSalary,0.12049644883434678
NumOfProducts,0.11929987010456358
CreditScore,0.11736405559367047
Balance,0.11612004699281239
Tenure,0.07700053253659293
IsActiveMember,0.0382645303125772
Geography_Germany,0.03137462806032548
AgeGroup_51-60,0.031004769254196395
Gender_Male,0.02250847609601176
AgeGroup_41-50,0.02225731291148011
HasCrCard,0.019281462203210233
AgeGroup_31-40,0.016602652664965283
Geography_Spain,0.016058855428324175
BalanceCategory_High,0.014500816530712928
SalaryCategory_Medium,0.01423692678998942
SalaryCategory_High,0.012618572185637795
SalaryCategory_Very High,0.01106381006258506
BalanceCategory_Medium,0.010117821986593913
AgeGroup_60+,0.005701447915920395
BalanceCategory_Low,0.0024022204269733434
